Tempo [s];L-L0 [mm];Força [N];Epsilon;;;L0 [mm]
79,15;0,16571;2687,4;0,0033142;;;
79,433;0,16762;2690,6;0,0033524;;;
79,7;0,16953;2690,6;0,0033906;;;
80;0,17144;2697,1;0,0034288;;;
80,267;0,17335;2697,1;0,003467;;;
80,517;0,17527;2697,1;0,0035054;;;
80,783;0,17718;2703,5;0,0035436;;;
81,033;0,17909;2703,5;0,0035818;;;
81,333;0,181;2703,5;0,00362;;;
81,583;0,18291;2706,7;0,0036582;;;
81,817;0,18482;2706,7;0,0036964;;;
82,05;0,18673;2709,9;0,0037346;;;
82,333;0,18864;2709,9;0,0037728;;;
82,533;0,19055;2713,1;0,003811;;;
82,767;0,19246;2713,1;0,0038492;;;
83,033;0,19437;2713,1;0,0038874;;;
83,233;0,19628;2713,1;0,0039256;;;
83,45;0,19819;2719,5;0,0039638;;;
83,683;0,2001;2719,5;0,004002;;;
83,9;0,20201;2719,5;0,0040402;;;
84,15;0,20392;2722,7;0,0040784;;;
84,367;0,20583;2719,5;0,0041166;;;
84,583;0,20774;2722,7;0,0041548;;;
84,767;0,20965;2722,7;0,004193;;;
84,967;0,21156;2725,9;0,0042312;;;
85,183;0,21347;2725,9;0,0042694;;;
85,383;0,21538;2725,9;0,0043076;;;
85,6;0,21729;2725,9;0,0043458;;;
85,767;0,2192;2729,2;0,004384;;;
85,983;0,22111;2729,2;0,0044222;;;
86,183;0,22302;2729,2;0,0044604;;;
86,4;0,22493;2732,4;0,0044986;;;
86,583;0,22684;2732,4;0,0045368;;;
86,75;0,22875;2732,4;0,004575;;;
86,95;0,23066;2735,6;0,0046132;;;
87,15;0,23257;2735,6;0,0046514;;;
87,317;0,23448;2735,6;0,0046896;;;
87,517;0,23639;2735,6;0,0047278;;;
87,7;0,2383;2735,6;0,004766;;;
87,9;0,24021;2738,8;0,0048042;;;
88,05;0,24212;2738,8;0,0048424;;;
88,233;0,24403;2738,8;0,0048806;;;
88,383;0,24594;2738,8;0,0049188;;;
88,567;0,24785;2738,8;0,004957;;;
88,783;0,24976;2738,8;0,0049952;;;
88,933;0,25167;2738,8;0,0050334;;;
89,1;0,25359;2742;0,0050718;;;
89,267;0,2555;2742;0,00511;;;
89,45;0,25741;2742;0,0051482;;;
89,6;0,25932;2742;0,0051864;;;
89,783;0,26123;2742;0,0052246;;;
89,933;0,26314;2745,2;0,0052628;;;
90,117;0,26505;2745,2;0,005301;;;
90,267;0,26696;2745,2;0,0053392;;;
90,433;0,26887;2745,2;0,0053774;;;
90,6;0,27078;2745,2;0,0054156;;;
90,767;0,27269;2745,2;0,0054538;;;
90,933;0,2746;2745,2;0,005492;;;
91,083;0,27651;2748,4;0,0055302;;;
91,25;0,27842;2745,2;0,0055684;;;
91,417;0,28033;2748,4;0,0056066;;;
91,583;0,28224;2748,4;0,0056448;;;
91,733;0,28415;2748,4;0,005683;;;
91,867;0,28606;2748,4;0,0057212;;;
92,05;0,28797;2748,4;0,0057594;;;
92,2;0,28988;2748,4;0,0057976;;;
92,35;0,29179;2748,4;0,0058358;;;
92,517;0,2937;2751,6;0,005874;;;
92,667;0,29561;2748,4;0,0059122;;;
92,85;0,298;2751,6;0,00596;;;
93,017;0,29991;2751,6;0,0059982;;;
93,183;0,30182;2751,6;0,0060364;;;
93,35;0,30373;2751,6;0,0060746;;;
93,483;0,30564;2751,6;0,0061128;;;
93,7;0,30803;2754,8;0,0061606;;;
93,883;0,31041;2751,6;0,0062082;;;
94,083;0,3128;2754,8;0,006256;;;
94,267;0,31519;2751,6;0,0063038;;;
94,483;0,31758;2754,8;0,0063516;;;
94,65;0,31997;2754,8;0,0063994;;;
94,867;0,32235;2754,8;0,006447;;;
95,05;0,32474;2758,1;0,0064948;;;
95,25;0,32713;2754,8;0,0065426;;;
95,433;0,32952;2754,8;0,0065904;;;
95,633;0,33191;2754,8;0,0066382;;;
95,817;0,33429;2758,1;0,0066858;;;
96,017;0,33668;2758,1;0,0067336;;;
96,2;0,33907;2758,1;0,0067814;;;
96,367;0,34146;2758,1;0,0068292;;;
96,567;0,34384;2758,1;0,0068768;;;
96,733;0,34623;2758,1;0,0069246;;;
96,933;0,34862;2758,1;0,0069724;;;
97,117;0,35101;2761,3;0,0070202;;;
97,283;0,3534;2761,3;0,007068;;;
97,483;0,35578;2761,3;0,0071156;;;
97,667;0,35817;2761,3;0,0071634;;;
97,85;0,36056;2761,3;0,0072112;;;
98,033;0,36295;2761,3;0,007259;;;
98,217;0,36533;2761,3;0,0073066;;;
98,4;0,36772;2761,3;0,0073544;;;
98,617;0,37059;2761,3;0,0074118;;;
98,85;0,37345;2764,5;0,007469;;;
99,05;0,37632;2764,5;0,0075264;;;
99,283;0,37918;2764,5;0,0075836;;;
99,483;0,38205;2764,5;0,007641;;;
99,7;0,38491;2764,5;0,0076982;;;
99,9;0,38778;2764,5;0,0077556;;;
100,13;0,39065;2764,5;0,007813;;;
100,35;0,39351;2764,5;0,0078702;;;
100,55;0,39638;2764,5;0,0079276;;;
100,78;0,39972;2767,7;0,0079944;;;
101,02;0,40258;2767,7;0,0080516;;;
101,22;0,40545;2767,7;0,008109;;;
101,45;0,40831;2767,7;0,0081662;;;
101,67;0,41118;2767,7;0,0082236;;;
101,88;0,41405;2767,7;0,008281;;;
102,1;0,41691;2770,9;0,0083382;;;
102,32;0,41978;2770,9;0,0083956;;;
102,53;0,42264;2770,9;0,0084528;;;
102,73;0,42551;2767,7;0,0085102;;;
102,97;0,42837;2770,9;0,0085674;;;
103,2;0,43172;2770,9;0,0086344;;;
103,47;0,43506;2770,9;0,0087012;;;
103,7;0,4384;2770,9;0,008768;;;
103,95;0,44174;2770,9;0,0088348;;;
104,2;0,44509;2770,9;0,0089018;;;
104,45;0,44843;2774,1;0,0089686;;;
104,68;0,45177;2774,1;0,0090354;;;
104,93;0,45512;2770,9;0,0091024;;;
