Tempo [s];L-L0 [mm];Força [N];Epsilon;;;L0 [mm]
541,6;6,4843;2937,9;0,129686;;;
542,1;6,4924;2937,9;0,129848;;;
542,6;6,5006;2937,9;0,130012;;;
543,1;6,5087;2937,9;0,130174;;;
543,6;6,5168;2937,9;0,130336;;;
544,1;6,5254;2937,9;0,130508;;;
544,6;6,5335;2937,9;0,13067;;;
545,1;6,5416;2934,6;0,130832;;;
545,6;6,5502;2937,9;0,131004;;;
546,1;6,5584;2934,6;0,131168;;;
546,6;6,5669;2934,6;0,131338;;;
547,1;6,5751;2934,6;0,131502;;;
547,6;6,5837;2934,6;0,131674;;;
548,1;6,5918;2934,6;0,131836;;;
548,6;6,5999;2934,6;0,131998;;;
549,1;6,608;2931,4;0,13216;;;
549,6;6,6161;2934,6;0,132322;;;
550,1;6,6247;2931,4;0,132494;;;
550,6;6,6329;2928,2;0,132658;;;
551,1;6,641;2931,4;0,13282;;;
551,6;6,6496;2931,4;0,132992;;;
552,1;6,6577;2928,2;0,133154;;;
552,6;6,6658;2931,4;0,133316;;;
553,1;6,6739;2928,2;0,133478;;;
553,6;6,6825;2931,4;0,13365;;;
554,1;6,6906;2928,2;0,133812;;;
554,6;6,6988;2928,2;0,133976;;;
555,1;6,7069;2928,2;0,134138;;;
555,6;6,7155;2928,2;0,13431;;;
556,1;6,7236;2925;0,134472;;;
556,6;6,7322;2925;0,134644;;;
557,1;6,7403;2928,2;0,134806;;;
557,6;6,7484;2925;0,134968;;;
558,1;6,757;2925;0,13514;;;
558,6;6,7651;2925;0,135302;;;
559,1;6,7733;2925;0,135466;;;
559,6;6,7818;2921,8;0,135636;;;
560,1;6,79;2921,8;0,1358;;;
560,6;6,7981;2921,8;0,135962;;;
561,1;6,8067;2921,8;0,136134;;;
561,6;6,8148;2921,8;0,136296;;;
562,1;6,8229;2918,6;0,136458;;;
562,6;6,831;2918,6;0,13662;;;
563,1;6,8396;2918,6;0,136792;;;
563,6;6,8478;2918,6;0,136956;;;
564,1;6,8559;2921,8;0,137118;;;
564,6;6,8645;2918,6;0,13729;;;
565,1;6,8726;2918,6;0,137452;;;
565,6;6,8812;2915,4;0,137624;;;
566,1;6,8893;2912,2;0,137786;;;
566,6;6,8979;2915,4;0,137958;;;
567,1;6,906;2915,4;0,13812;;;
567,6;6,9146;2915,4;0,138292;;;
568,1;6,9227;2915,4;0,138454;;;
568,6;6,9308;2912,2;0,138616;;;
569,1;6,9394;2912,2;0,138788;;;
569,6;6,9476;2912,2;0,138952;;;
570,1;6,9557;2909;0,139114;;;
570,6;6,9638;2909;0,139276;;;
571,1;6,9719;2909;0,139438;;;
571,6;6,9805;2909;0,13961;;;
572,1;6,9886;2909;0,139772;;;
572,6;6,9968;2905,8;0,139936;;;
573,1;7,0053;2905,8;0,140106;;;
573,6;7,0135;2905,8;0,14027;;;
574,1;7,0216;2905,8;0,140432;;;
574,6;7,0302;2902,5;0,140604;;;
575,1;7,0383;2902,5;0,140766;;;
575,6;7,0464;2902,5;0,140928;;;
576,1;7,055;2902,5;0,1411;;;
576,6;7,0631;2899,3;0,141262;;;
577,1;7,0717;2902,5;0,141434;;;
577,6;7,0798;2899,3;0,141596;;;
578,1;7,0884;2899,3;0,141768;;;
578,6;7,097;2899,3;0,14194;;;
579,1;7,1052;2899,3;0,142104;;;
579,6;7,1133;2899,3;0,142266;;;
580,1;7,1214;2896,1;0,142428;;;
580,6;7,13;2896,1;0,1426;;;
581,1;7,1386;2896,1;0,142772;;;
581,6;7,1462;2892,9;0,142924;;;
582,1;7,1543;2896,1;0,143086;;;
582,6;7,1625;2892,9;0,14325;;;
583,1;7,1711;2892,9;0,143422;;;
583,6;7,1792;2889,7;0,143584;;;
584,1;7,1878;2892,9;0,143756;;;
584,6;7,1954;2889,7;0,143908;;;
585,1;7,204;2892,9;0,14408;;;
585,6;7,2121;2889,7;0,144242;;;
586,1;7,2207;2886,5;0,144414;;;
586,6;7,2288;2886,5;0,144576;;;
587,1;7,2374;2886,5;0,144748;;;
587,6;7,2456;2886,5;0,144912;;;
588,1;7,2542;2883,3;0,145084;;;
588,6;7,2623;2886,5;0,145246;;;
589,1;7,2704;2886,5;0,145408;;;
589,6;7,279;2883,3;0,14558;;;
590,1;7,2876;2883,3;0,145752;;;
590,6;7,2957;2880,1;0,145914;;;
591,1;7,3038;2880,1;0,146076;;;
591,6;7,3119;2880,1;0,146238;;;
592,1;7,3205;2876,9;0,14641;;;
592,6;7,3287;2876,9;0,146574;;;
593,1;7,3368;2876,9;0,146736;;;
593,6;7,3454;2876,9;0,146908;;;
594,1;7,3535;2873,6;0,14707;;;
594,6;7,3621;2873,6;0,147242;;;
595,1;7,3702;2873,6;0,147404;;;
595,6;7,3783;2873,6;0,147566;;;
596,1;7,3869;2870,4;0,147738;;;
596,6;7,395;2870,4;0,1479;;;
597,1;7,4032;2867,2;0,148064;;;
597,6;7,4118;2870,4;0,148236;;;
598,1;7,4203;2867,2;0,148406;;;
598,6;7,4285;2867,2;0,14857;;;
599,1;7,4366;2864;0,148732;;;
599,6;7,4452;2867,2;0,148904;;;
600,1;7,4533;2864;0,149066;;;
600,6;7,4614;2864;0,149228;;;
601,1;7,47;2864;0,1494;;;
601,6;7,4786;2860,8;0,149572;;;
602,1;7,4867;2860,8;0,149734;;;
602,6;7,4948;2860,8;0,149896;;;
603,1;7,503;2857,6;0,15006;;;
603,6;7,5111;2857,6;0,150222;;;
604,1;7,5197;2854,4;0,150394;;;
604,6;7,5278;2854,4;0,150556;;;
605,1;7,5354;2851,2;0,150708;;;
605,6;7,544;2851,2;0,15088;;;
606,1;7,5526;2851,2;0,151052;;;
606,6;7,5612;2851,2;0,151224;;;
607,1;7,5693;2851,2;0,151386;;;
607,6;7,5779;2851,2;0,151558;;;
608,1;7,5861;2848;0,151722;;;
608,6;7,5942;2848;0,151884;;;
609,1;7,6033;2848;0,152066;;;
609,6;7,6114;2844,7;0,152228;;;
610,1;7,62;2841,5;0,1524;;;
610,6;7,6281;2841,5;0,152562;;;
611,1;7,6362;2841,5;0,152724;;;
611,6;7,6443;2841,5;0,152886;;;
612,1;7,6529;2838,3;0,153058;;;
612,6;7,661;2838,3;0,15322;;;
613,1;7,6692;2835,1;0,153384;;;
613,6;7,6778;2835,1;0,153556;;;
614,1;7,6859;2835,1;0,153718;;;
614,6;7,6945;2831,9;0,15389;;;
615,1;7,7026;2828,7;0,154052;;;
615,6;7,7112;2828,7;0,154224;;;
616,1;7,7188;2828,7;0,154376;;;
616,6;7,7279;2828,7;0,154558;;;
617,1;7,736;2825,5;0,15472;;;
617,6;7,7441;2825,5;0,154882;;;
618,1;7,7527;2822,3;0,155054;;;
618,6;7,7613;2822,3;0,155226;;;
619,1;7,7694;2819,1;0,155388;;;
619,6;7,778;2819,1;0,15556;;;
620,1;7,7862;2819,1;0,155724;;;
620,6;7,7943;2815,8;0,155886;;;
621,1;7,8029;2815,8;0,156058;;;
621,6;7,8115;2812,6;0,15623;;;
622,1;7,8196;2812,6;0,156392;;;
622,6;7,8277;2809,4;0,156554;;;
623,1;7,8363;2809,4;0,156726;;;
623,6;7,8449;2809,4;0,156898;;;
624,1;7,853;2806,2;0,15706;;;
624,6;7,8611;2806,2;0,157222;;;
625,1;7,8693;2803;0,157386;;;
625,6;7,8774;2799,8;0,157548;;;
626,1;7,886;2799,8;0,15772;;;
626,6;7,8941;2796,6;0,157882;;;
627,1;7,9027;2796,6;0,158054;;;
627,6;7,9108;2796,6;0,158216;;;
628,1;7,9199;2793,4;0,158398;;;
628,6;7,928;2790,2;0,15856;;;
629,1;7,9366;2790,2;0,158732;;;
629,6;7,9452;2787;0,158904;;;
630,1;7,9533;2787;0,159066;;;
630,6;7,9614;2780,5;0,159228;;;
631,1;7,9705;2780,5;0,15941;;;
631,6;7,9791;2777,3;0,159582;;;
632,1;7,9872;2777,3;0,159744;;;
632,6;7,9953;2774,1;0,159906;;;
633,1;8,0039;2770,9;0,160078;;;
633,6;8,012;2770,9;0,16024;;;
634,1;8,0206;2767,7;0,160412;;;
634,6;8,0292;2767,7;0,160584;;;
635,1;8,0374;2764,5;0,160748;;;
635,6;8,0455;2764,5;0,16091;;;
636,1;8,0541;2761,3;0,161082;;;
636,6;8,0627;2754,8;0,161254;;;
637,1;8,0708;2751,6;0,161416;;;
637,6;8,0794;2751,6;0,161588;;;
638,1;8,088;2748,4;0,16176;;;
638,6;8,0966;2745,2;0,161932;;;
639,1;8,1052;2742;0,162104;;;
639,6;8,1133;2738,8;0,162266;;;
640,1;8,1219;2735,6;0,162438;;;
640,6;8,1305;2732,4;0,16261;;;
641,1;8,1391;2729,2;0,162782;;;
641,6;8,1477;2722,7;0,162954;;;
642,1;8,1563;2722,7;0,163126;;;
642,6;8,1649;2719,5;0,163298;;;
643,1;8,1735;2709,9;0,16347;;;
643,6;8,1821;2709,9;0,163642;;;
644,1;8,1907;2703,5;0,163814;;;
644,6;8,1993;2700,3;0,163986;;;
645,1;8,2078;2693,8;0,164156;;;
645,6;8,2164;2690,6;0,164328;;;
646,1;8,225;2687,4;0,1645;;;
646,6;8,2336;2681;0,164672;;;
647,1;8,2427;2674,6;0,164854;;;
647,6;8,2513;2668,2;0,165026;;;
648,1;8,2604;2661,7;0,165208;;;
648,6;8,269;2655,3;0,16538;;;
649,1;8,278;2645,7;0,16556;;;
649,6;8,2871;2639,3;0,165742;;;
650,1;8,2962;2629,6;0,165924;;;
650,6;8,3053;2620;0,166106;;;
651,1;8,3143;2610,4;0,166286;;;
651,6;8,3234;2600,7;0,166468;;;
652,1;8,3325;2587,9;0,16665;;;
652,6;8,342;2575;0,16684;;;
653,1;8,3516;2559;0,167032;;;
653,6;8,3607;2542,9;0,167214;;;
654,1;8,3697;2526,9;0,167394;;;
654,47;8,3764;2507,6;0,167528;;;
654,83;8,3769;2488,4;0,167538;;;
655,07;8,3793;2469,1;0,167586;;;
655,28;8,3229;2449,8;0,166458;;;
655,4;8,3253;2430,6;0,166506;;;
655,5;8,3291;2411,3;0,166582;;;
655,6;8,332;2392;0,16664;;;
655,72;8,3358;2372,8;0,166716;;;
655,87;8,3401;2353,5;0,166802;;;
656,02;8,344;2334,2;0,16688;;;
656,17;8,3483;2315;0,166966;;;
656,3;8,3516;2295,7;0,167032;;;
656,45;8,3559;2276,4;0,167118;;;
656,58;8,3597;2257,2;0,167194;;;
656,7;8,3631;2237,9;0,167262;;;
656,83;8,3674;2218,6;0,167348;;;
656,95;8,3712;2199,4;0,167424;;;
657,08;8,3745;2180,1;0,16749;;;
657,23;8,3793;2160,9;0,167586;;;
657,37;8,3826;2141,6;0,167652;;;
657,5;8,3869;2119,1;0,167738;;;
657,65;8,3912;2099,8;0,167824;;;
657,78;8,3951;2080,6;0,167902;;;
657,92;8,3989;2061,3;0,167978;;;
658,03;8,4027;2042,1;0,168054;;;
658,15;8,406;2022,8;0,16812;;;
658,25;8,4089;2003,5;0,168178;;;
658,35;8,4127;1984,3;0,168254;;;
658,45;8,4156;1965;0,168312;;;
658,53;8,4189;1942,5;0,168378;;;
658,62;8,4223;1920;0,168446;;;
658,68;8,4251;1897,6;0,168502;;;
658,73;8,428;1878,3;0,16856;;;
658,77;8,4304;1855,8;0,168608;;;
658,8;8,4337;1820,5;0,168674;;;
658,82;8,4356;1801,2;0,168712;;;
658,83;8,4376;1782;0,168752;;;
658,87;8,4409;1753,1;0,168818;;;
658,88;8,4433;1730,6;0,168866;;;
658,9;8,4557;1499,4;0,169114;;;
658,92;8,5082;356,4;0,170164;;;
658,93;8,2126;-132,05;0,164252;;;
658,95;7,3153;-83,738;0,146306;;;
658,97;7,0077;-25,766;0,140154;;;
659;7,1004;-28,986;0,142008;;;
